disasterNumber,region,stateNumberCode,state,countyCode,county,city,zip,projectIdentifier,propertyAction,structureType,typeOfResidency,actualAmountPaid,programFy,dateInitiallyApproved,dateApproved,dateClosed,status,programArea,title,type,numberOfProperties,numberOfRecords,damageCategory,granteeTribalIndicator,subgranteeTribalIndicator,id
,8,30,Montana,89,Sanders,PLAINS,59047,FMA-PJ-08MT-1997001,Acquisition/Demolition,Single Family,Primary,27127,1997,,1999-03-17T05:00:00.000Z,2003-09-12T04:00:00.000Z,Closed,FMA,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,0 - 49%,,,61339fdcc61c8f088467b051
,1,25,Massachusetts,23,Plymouth,SCITUATE,2066,FMA-PJ-01MA-1997001,Elevation,Single Family,Primary,18000,1997,,1997-11-27T05:00:00.000Z,2002-09-18T21:25:38.000Z,Closed,FMA,,202.2: Elevation of Private Structures - Coastal,1,,0 - 49%,,,61339fddc61c8f088467c856
,1,25,Massachusetts,,,SCITUATE,2066,FMA-PJ-01MA-1997001,Elevation,Single Family,Primary,17500,1997,,1997-11-27T05:00:00.000Z,2002-09-18T21:25:38.000Z,Closed,FMA,,202.2: Elevation of Private Structures - Coastal,1,,0 - 49%,,,61339fe5c61c8f08846843b6
,1,25,Massachusetts,23,Plymouth,SCITUATE,2066,FMA-PJ-01MA-1997001,Elevation,Single Family,,18000,1997,,1997-11-27T05:00:00.000Z,2002-09-18T21:25:38.000Z,Closed,FMA,,202.2: Elevation of Private Structures - Coastal,1,,0 - 49%,,,61339fe5c61c8f0884684440
,8,30,Montana,67,Park,LIVINGSTON,59047,FMA-PJ-08MT-1997005,Elevation,Single Family,Primary,13728,1997,,1999-03-17T05:00:00.000Z,2003-09-17T21:26:11.000Z,Closed,FMA,,202.1: Elevation of Private Structures - Riverine,1,,50 - 99%,,,61339fe7c61c8f0884685d9c
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,245350,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a647
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,22855,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a648
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,2600,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a6bc
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,12000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a72e
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,35500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a76e
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,18800,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a782
1239,6,48,Texas,465,Val Verde,DEL RIO ,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,19395,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a781
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,34500,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a773
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,27655,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a79d
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,25000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,3,,50 - 99%,No,No,61339fdbc61c8f088467a7bc
1239,6,48,Texas,465,Val Verde,DEL RIO,77840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,18670,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a7ac
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,11180,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467a926
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,33081,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a82b
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,20001,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdbc61c8f088467a7eb
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,33000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467a947
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,21000,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467a9c4
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,13520,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467aa80
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,22905,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467aab9
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,,30532,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467aa93
1239,6,48,Texas,465,Val Verde,DEL RIO,78840,DR-1239-0002-R,Acquisition/Demolition,Single Family,Not Applicable,19492,1998,1999-05-07T04:00:00.000Z,1999-05-28T04:00:00.000Z,2004-02-13T05:00:00.000Z,Closed,HMGP,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,1,,50 - 99%,No,No,61339fdcc61c8f088467aab8
